prompt_set,set_label,prompt_count,mean_token_count,mean_vocabulary_size,mean_shannon_entropy_bits,mean_normalized_shannon_entropy,prompt_bundle_sha256
original,Original,5,59.20000000,49.60000000,5.39532550,0.98376329,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a,Imperative,5,54.60000000,45.80000000,5.27437391,0.98295356,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_b,Declarative,5,58.60000000,50.60000000,5.43281860,0.98559823,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
