model,task,method,shot,pass@k,pass@k_40,pass@k_185,pass@k_294,pass@k_480,pass@k_638
codellama-13b,java,naive,3-shot,pass@1,23.04,20.87,24.78,21.74,20.00
codellama-13b,java,retrieval,3-shot,pass@1,22.17,21.30,21.30,24.35,25.22
codellama-13b,java,zero,0-shot,pass@1,20.43,22.61,21.74,22.61,22.61
codellama-13b,python,naive,3-shot,pass@1,14.78,16.96,16.52,17.39,15.65
codellama-13b,python,retrieval,3-shot,pass@1,17.39,16.96,17.83,17.83,16.96
codellama-13b,python,zero,0-shot,pass@1,15.65,16.52,17.83,13.04,17.83
codellama-34b,java,naive,3-shot,pass@1,23.48,23.91,23.48,23.04,23.91
codellama-34b,java,retrieval,3-shot,pass@1,18.26,19.57,23.04,23.04,20.43
codellama-34b,java,zero,0-shot,pass@1,25.65,24.35,23.91,23.04,26.52
codellama-34b,python,naive,3-shot,pass@1,17.39,16.96,16.52,18.26,19.13
codellama-34b,python,retrieval,3-shot,pass@1,20.43,18.70,21.74,21.30,18.70
codellama-34b,python,zero,0-shot,pass@1,19.57,17.39,17.39,19.57,20.00
codellama-7b,java,naive,3-shot,pass@1,26.52,21.74,23.91,23.04,22.17
codellama-7b,java,retrieval,3-shot,pass@1,20.43,17.83,23.91,19.57,19.57
codellama-7b,java,zero,0-shot,pass@1,25.22,23.91,23.91,28.26,23.91
codellama-7b,python,naive,3-shot,pass@1,15.65,15.22,14.35,16.96,16.09
codellama-7b,python,retrieval,3-shot,pass@1,15.22,17.39,16.52,16.09,13.91
codellama-7b,python,zero,0-shot,pass@1,12.61,14.35,14.35,17.83,16.09
gpt-20b,java,naive,3-shot,pass@1,31.30,35.22,39.57,36.52,37.83
gpt-20b,java,retrieval,3-shot,pass@1,36.52,38.70,43.48,44.35,46.09
gpt-20b,java,zero,0-shot,pass@1,40.00,40.43,38.70,39.57,43.91
gpt-20b,python,naive,3-shot,pass@1,26.96,27.83,28.70,26.96,26.09
gpt-20b,python,retrieval,3-shot,pass@1,25.22,24.78,25.65,25.22,26.52
gpt-20b,python,zero,0-shot,pass@1,26.52,27.39,26.09,23.91,26.96
qwen2.5-1.5b,java,naive,3-shot,pass@1,25.65,25.65,26.96,26.52,25.22
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,22.61,23.91,23.91,26.09,21.74
qwen2.5-1.5b,java,zero,0-shot,pass@1,25.65,24.35,22.61,24.35,23.48
qwen2.5-1.5b,python,naive,3-shot,pass@1,14.78,14.78,15.65,13.04,14.35
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,14.78,15.22,13.91,13.91,13.48
qwen2.5-1.5b,python,zero,0-shot,pass@1,15.65,15.65,12.61,15.22,15.22
qwen2.5-32b,java,naive,3-shot,pass@1,11.74,27.39,32.61,30.43,33.04
qwen2.5-32b,java,retrieval,3-shot,pass@1,20.00,35.22,40.00,37.39,40.00
qwen2.5-32b,java,zero,0-shot,pass@1,40.00,36.52,42.61,41.30,40.00
qwen2.5-32b,python,naive,3-shot,pass@1,23.91,26.09,25.65,25.65,24.35
qwen2.5-32b,python,retrieval,3-shot,pass@1,23.48,26.52,26.09,24.78,23.91
qwen2.5-32b,python,zero,0-shot,pass@1,26.52,28.26,25.65,25.22,23.91
qwen2.5-7b,java,naive,3-shot,pass@1,19.13,25.22,26.96,24.78,28.70
qwen2.5-7b,java,retrieval,3-shot,pass@1,15.22,18.26,22.17,24.78,20.00
qwen2.5-7b,java,zero,0-shot,pass@1,26.52,34.35,29.57,33.04,31.74
qwen2.5-7b,python,naive,3-shot,pass@1,19.57,20.00,19.57,20.43,19.57
qwen2.5-7b,python,retrieval,3-shot,pass@1,19.13,19.57,19.57,21.74,21.30
qwen2.5-7b,python,zero,0-shot,pass@1,21.30,20.00,20.43,19.13,20.00
